epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,568.265,0.84298,2.18211,1.04436,0.87866,0.85154,0.91284,0.77791,0.57126,0.62266,0.88204,0.00333088,0.00333088,0.00333088
2,1079.73,0.65723,1.02131,0.94592,0.93854,0.92186,0.96345,0.82853,0.54468,0.49821,0.90154,0.00653226,0.00653226,0.00653226
3,1569.57,0.66372,0.77619,0.96389,0.92797,0.91133,0.95762,0.81421,0.57908,0.49279,0.9542,0.00960164,0.00960164,0.00960164
4,1969.47,0.6545,0.65134,0.97117,0.94382,0.9219,0.96648,0.85369,0.50431,0.40192,0.91245,0.009406,0.009406,0.009406
5,2363.16,0.61017,0.5587,0.95632,0.94665,0.93884,0.97742,0.87246,0.48165,0.35779,0.89938,0.009208,0.009208,0.009208
6,2759.75,0.5788,0.51123,0.9446,0.94137,0.9398,0.97596,0.87751,0.45219,0.32564,0.89929,0.00901,0.00901,0.00901
7,3156.4,0.55628,0.47541,0.9373,0.94626,0.93229,0.9754,0.88878,0.43594,0.31182,0.8874,0.008812,0.008812,0.008812
8,3550.87,0.54026,0.45352,0.93135,0.95006,0.94543,0.97963,0.89756,0.42163,0.28934,0.87969,0.008614,0.008614,0.008614
9,3944.4,0.52906,0.43747,0.92731,0.95404,0.94647,0.9808,0.89841,0.4203,0.28054,0.88346,0.008416,0.008416,0.008416
10,4342.24,0.52007,0.42228,0.92421,0.95377,0.9452,0.98273,0.90737,0.40571,0.27988,0.87444,0.008218,0.008218,0.008218
11,4739.9,0.51006,0.41586,0.92095,0.95219,0.9536,0.98296,0.90923,0.39857,0.26258,0.87246,0.00802,0.00802,0.00802
12,5129.69,0.50265,0.4045,0.9189,0.95648,0.95877,0.98511,0.91272,0.39138,0.25567,0.86924,0.007822,0.007822,0.007822
13,5518.75,0.49672,0.39527,0.91708,0.96168,0.94948,0.98523,0.9146,0.38922,0.25205,0.8698,0.007624,0.007624,0.007624
14,5907.99,0.48839,0.38904,0.91457,0.95407,0.95479,0.98233,0.91617,0.37755,0.2483,0.86143,0.007426,0.007426,0.007426
15,6296.73,0.48687,0.38401,0.91303,0.96054,0.95386,0.98411,0.91849,0.37947,0.24852,0.86385,0.007228,0.007228,0.007228
16,6686.89,0.4782,0.37816,0.91103,0.97044,0.95311,0.98641,0.92319,0.3709,0.23479,0.86,0.00703,0.00703,0.00703
17,7078.15,0.47321,0.37041,0.9089,0.96266,0.95719,0.98491,0.92418,0.36883,0.23303,0.8577,0.006832,0.006832,0.006832
18,7467.14,0.47156,0.36491,0.9079,0.96772,0.95147,0.98526,0.92423,0.36599,0.23138,0.856,0.006634,0.006634,0.006634
19,7856.52,0.46452,0.35885,0.90411,0.96554,0.95593,0.98675,0.92755,0.36198,0.2278,0.85458,0.006436,0.006436,0.006436
20,8245.93,0.46061,0.35527,0.90237,0.9654,0.95718,0.98563,0.92766,0.36141,0.22893,0.85435,0.006238,0.006238,0.006238
21,8636.07,0.45735,0.35022,0.90009,0.96623,0.95665,0.98672,0.93044,0.35806,0.22114,0.85309,0.00604,0.00604,0.00604
22,9028.58,0.45396,0.34424,0.90172,0.97016,0.94981,0.98593,0.92846,0.358,0.22284,0.85256,0.005842,0.005842,0.005842
23,9417.02,0.45071,0.34288,0.8994,0.96964,0.95421,0.9861,0.93099,0.35381,0.22011,0.85011,0.005644,0.005644,0.005644
24,9805.51,0.44441,0.33961,0.89713,0.96393,0.95852,0.98553,0.93124,0.35033,0.21477,0.84885,0.005446,0.005446,0.005446
25,10198.1,0.44286,0.33495,0.89594,0.96454,0.95779,0.98637,0.93286,0.34757,0.21358,0.84724,0.005248,0.005248,0.005248
26,10587.1,0.43695,0.32949,0.89518,0.9676,0.95553,0.98718,0.93566,0.34633,0.21132,0.84714,0.00505,0.00505,0.00505
27,10978.2,0.43748,0.32596,0.89447,0.96899,0.95511,0.98645,0.93409,0.34621,0.21047,0.84749,0.004852,0.004852,0.004852
28,11366.2,0.43251,0.32438,0.893,0.96559,0.95575,0.98608,0.93517,0.34287,0.21001,0.84525,0.004654,0.004654,0.004654
29,11756.8,0.43099,0.3242,0.89164,0.96472,0.95877,0.98649,0.93511,0.34158,0.20866,0.84504,0.004456,0.004456,0.004456
30,12147.6,0.42837,0.31908,0.89081,0.967,0.96124,0.9863,0.93586,0.34105,0.20683,0.8442,0.004258,0.004258,0.004258
31,12537.2,0.42473,0.31508,0.88881,0.96952,0.95723,0.98627,0.93725,0.33963,0.20558,0.84368,0.00406,0.00406,0.00406
32,12925.8,0.42255,0.30982,0.88859,0.9732,0.9547,0.98669,0.93828,0.33919,0.20509,0.84312,0.003862,0.003862,0.003862
33,13315.1,0.42006,0.30878,0.88672,0.97269,0.95465,0.9876,0.93929,0.33733,0.20308,0.84238,0.003664,0.003664,0.003664
34,13704.5,0.41333,0.30477,0.88443,0.96888,0.95845,0.98775,0.93962,0.33585,0.20216,0.84162,0.003466,0.003466,0.003466
35,14094.5,0.4116,0.29838,0.8834,0.96889,0.95763,0.9878,0.94061,0.3352,0.1999,0.84139,0.003268,0.003268,0.003268
36,14483.1,0.40605,0.29329,0.88241,0.97252,0.95578,0.98774,0.94163,0.33402,0.19873,0.84082,0.00307,0.00307,0.00307
37,14875.4,0.40523,0.28982,0.88008,0.96834,0.96001,0.98737,0.94138,0.33326,0.19898,0.84062,0.002872,0.002872,0.002872
38,15264,0.40309,0.28899,0.87983,0.971,0.95743,0.98714,0.94098,0.33209,0.19874,0.83991,0.002674,0.002674,0.002674
39,15656.5,0.39831,0.28354,0.87976,0.97156,0.95609,0.98681,0.9415,0.33128,0.19805,0.83949,0.002476,0.002476,0.002476
40,16045.7,0.39687,0.28363,0.87956,0.97271,0.95662,0.98669,0.94166,0.33041,0.19761,0.83916,0.002278,0.002278,0.002278
41,16402.6,0.34941,0.22455,0.85468,0.97315,0.95543,0.98715,0.94259,0.32881,0.19658,0.83863,0.00208,0.00208,0.00208
42,16759.6,0.34493,0.21988,0.85273,0.97413,0.9548,0.98737,0.94279,0.32787,0.19585,0.8383,0.001882,0.001882,0.001882
43,17116.6,0.34072,0.21596,0.85139,0.97005,0.95843,0.98754,0.94304,0.32684,0.19516,0.83789,0.001684,0.001684,0.001684
44,17476.2,0.33537,0.21117,0.84726,0.97428,0.95475,0.98757,0.94374,0.32571,0.19469,0.83755,0.001486,0.001486,0.001486
45,17833.4,0.33099,0.20697,0.84475,0.97192,0.95883,0.98761,0.94423,0.3249,0.19438,0.83718,0.001288,0.001288,0.001288
46,18192.5,0.32579,0.2035,0.84296,0.97257,0.9579,0.98767,0.94441,0.32417,0.1937,0.83687,0.00109,0.00109,0.00109
47,18548.7,0.32208,0.20012,0.84147,0.97367,0.95711,0.9878,0.94494,0.3236,0.19319,0.83656,0.000892,0.000892,0.000892
48,18905.2,0.31855,0.1956,0.84079,0.97367,0.95726,0.98787,0.94481,0.32313,0.19309,0.83639,0.000694,0.000694,0.000694
49,19260.9,0.31525,0.19235,0.83765,0.97307,0.9578,0.98797,0.94541,0.32261,0.19283,0.83624,0.000496,0.000496,0.000496
50,19617.7,0.3125,0.18786,0.83702,0.97334,0.95802,0.98804,0.94526,0.32222,0.19255,0.836,0.000298,0.000298,0.000298
